agree,يُوَافِقُ,hold;jibe;concord
household,أُسْرَة,home;family;menage
intent,قَصْد,purport;aim;wrapped
landscape,مَنْظَر طَبِيعِيّ,landscape painting
lift,يَرْفَعُ,snarf;airlift;elevator
load,يُحَمِّلُ,warhead;adulterate;laden
lung,رِئَة,lung
motion,حَرَكَة,movement;apparent motion;gesticulate
pace,وَتِيرَة,rate;stride;step
polite,مُهَذَّب,civilized;civil;civilised
possess,يَمْتَلِكُ,own;have
rapidly,بِسُرْعَة,quickly;apace;chop-chop
remark,يُلَاحِظُ,observe;point out;comment
seek,يَبْحَثُ,try;assay;search
shine,يَلْمَعُ,refulgency;strike;refulgence
spill,يَسْكُبُ,release;fall;tumble
arrow,سَهْم,pointer
battle,مَعْرَكَة,fight;combat;conflict
bow,قَوْس,bow down;fore;bend
brave,شُجَاع,intrepid;fearless;gay
chief,زَعِيم,gaffer;boss;primary
disadvantage,عَيْب,disfavor;disfavour
enemy,عَدُوّ,foeman;opposition;foe
entrance,مَدْخَل,charm;beguile;entree
hardly,بِالْك��اد,scarcely;scarce;barely
intend,يَنْوِي,signify;mean;think
laughter,ضَحِك,laugh
log,جِذْع,lumber;logarithm
military,عَسْكَرِيّ,war machine;armed forces;armed services
obey,يُطِيعُ,obey
secure,يُؤَمِّنُ,batten;stop up;impregnable
steady,ثَابِت,firm;regular;steadily
trust,يَثِقُ,trustfulness;cartel;bank
twist,يَلْوِي,twirl;squirm;eddy
unless,إِلَّا إِذَا,unless
weapon,سِلَاح,artillery;weapon system;arm
chest,صَدْر,bureau;dresser;chest of drawers
confidence,ثِقَة,trust;assurance;sureness
consequence,عَاقِبَة,result;event;upshot
disaster,كَارِثَة,calamity;catastrophe;tragedy
disturb,يُزْعِجُ,commove;agitate;vex
estimate,يُقَدِّرُ,reckon;appraisal;approximate
honor,يُكَرِّمُ,observe;honour;pureness
impress,يُثِيرُ إِعْجَاب,yarn-dye;shanghai;instill
narrow,ضَيِّق,pin down;narrow down;narrow-minded
pale,شَاحِب,pallid;wan;picket
rough,خَشِن,pugnacious;jolting;grating
satisfy,يُرْضِي,live up to;gratify;fill
scream,يَصْرُخُ,screeching;shriek;howler
sensitive,حَسَّاس,raw;tender;spiritualist
shade,ظِلّ,spook;ghost;fill in
strength,قُوَّة,metier;long suit;posture
supplement,يُكَمِّلُ,postscript;add-on;add on
terror,رُعْب,affright;holy terror;scourge
threat,تَهْدِيد,menace;scourge;terror
victim,ضَحِيَّة,dupe
ancestor,سَلَف,root;ascendant;ascendent
angle,زَاوِيَة,slant;tilt;Angle
boot,حِذَاء طَوِيل,iron boot;reboot;thrill
border,حَدّ,environ;boundary line;surround
congratulate,يُهَنِّئُ,felicitate;pride;compliment
frame,إِطَار,chassis;material body;underframe
heaven,جَنَّة,nirvana;Eden;promised land
incredible,لَا يُصَدَّق,unbelievable
legend,أُسْطُورَة,fable;caption
praise,يَمْدَحُ,kudos;extolment;congratulations
proceed,يُوَاصِلُ,keep;go;go forward
pure,نَقِيّ,staring;perfect;virginal
relative,قَرِيب,congenator;comparative;congener
senior,أَقْدَم,aged;fourth-year;older
silent,صَامِت,still;soundless;tacit
sink,يَغْرَقُ,sump;fall off;drop down
superior,أَفْضَل,victor;higher-ranking;master
surround,يُحِيطُ,environ;palisade;ring
thick,سَمِيك,thick-skulled;stocky;thickly
wrap,يَغْلِفُ,wrap up;twine;wind
also,أَيْضًا,besides;as well;too
automatically,تِلْقَائِيًّا,mechanically
busy,مَشْغُول,busybodied;engaged;occupy
can,يَس��تَطِيعُ,hind end;arse;pot
clear,يُنَظِّفُ,readable;sort out;shed light on
close,يُغْلِقُ,near;stuffy;conclude
discuss,يُنَاقِشُ,discourse;talk about;saucer
feel,يَشْعُرُ,flavor;smell;experience
listen,يَسْتَمِعُ,hear;take heed;heed
meet,يَلْتَقِي,play;fitting;contact
music,مُوسِيقَى,medicine;euphony
normal,عَادِيّ,pattern;convention;formula
quiet,هَادِئ,placid;repose;lull
relax,يَسْتَرْخِي,slow down;unstrain;slacken
sleep,يَنَامُ,eternal rest;kip;log Z's
stress,إِجْهَاد,try;emphasize;accent
study,يَدْرُسُ,subject;subject field;subject area
talk,يَتَحَدَّثُ,talking;babble out;public lecture
work,يَعْمَلُ,study;body of work;play
write,يَكْتُبُ,pen;drop a line;spell
basis,أَسَاس,ground;base;cornerstone
biology,عِلْمُ الْأَحْيَاء,biological science;biota
cage,قَفَص,cage in;coop;batting cage
colleague,زَمِيل,workfellow;fellow worker;fellow
colony,مُسْتَعْمَرَة,Colony;settlement;dependency
debate,يُنَاظِرُ,moot;argument;argue
depart,يُغَادِرُ,go;start out;set off
depress,يُحْبِطُ,lower;press down;dismay
factual,وَاقِعِيّ,actual
fascinate,يَسْحَرُ,transfix;spellbind;enamor
mission,مُهِمَّة,foreign mission;deputation;military mission
nevertheless,وَمَعَ ذَلِكَ,nonetheless;notwithstanding;all the same
occupation,مِهْنَة,occupancy;job;line of work
overseas,عَبْرَ الْبِحَار,oversea;abroad
persuade,يُقْنِعُ,carry;sway
route,طَرِيق,path;itinerary;road
ruins,أَطْلَال,ruin;break;downfall
scholar,عَالِم,scholarly person;assimilator;bookman
significant,هَامّ,important;meaning;pregnant
volcano,بُرْكَان,vent
broad,عَرِيض,unsubtle;all-encompassing;liberal
bush,شُجَيْرَة,George H.W. Bush;George Walker Bush;Dubya
capable,قَادِر,equal to;subject;up to
cheat,يَغُشُّ,screw;rip off;tare
concentrate,يُرَكِّزُ,digest;decoct;center
conclude,يَسْتَنْتِجُ,close;reason out;resolve
confident,وَاثِق,surefooted;convinced;sure-footed
considerable,كَبير,considerable
convey,يَنْقُلُ,transmit;carry;channel
definite,مُؤَكَّد,definite
delight,بَهْجَة,please;enjoy;transport
destination,وِجْهَة,goal;name and address;terminus
edge,حَافَة,sharpness;butt on;abut
instructions,تَعْلِيمَات,command;didactics;pedagogy
path,مَمَرّ,track;way of life;way
resort,يَلْجَأُ,stamping ground;refuge;hangout
shadow,ظِلّ,vestige;shade;phantasma
succeed,يَنْجَحُ,come after;deliver the goods;bring home the bacon
suspect,يَشْتَبِهُ,shady;suspicious;funny
valley,وَادٍ,vale
against,ضِدّ,against
beach,شَاطِئ,beach
damage,يُتْلِفُ,scathe;terms;legal injury
discover,يَكْتَشِفُ,distinguish;name;get wind
emotion,عَاطِفَة,emotion
fix,يُصْلِحُ,mend;secure;muddle
identify,يَتَعَرَّفُ عَلَى,distinguish;name;key
island,جَزِيرَة,island
ocean,مُحِيط,sea
perhaps,رُبَّمَا,possibly;maybe;peradventure
pleasant,لَطِيف,pleasant
prevent,يَمْنَعُ,foreclose;keep;forbid
rock,صَخْرَة,rock-and-roll;John Rock;Rock
save,يُنْقِذُ,redeem;salvage;keep
smile,يَبْتَسِمُ,grinning;smiling;grin
step,يَخْطُو,footstep;footfall;mistreat
still,لَا يَزَال,placid;stock-still;even so
taste,مَذَاق,taste perception;sense of taste;mouthful
throw,يَرْمِي,flip;project;cast off
wave,مَوْجَة,flourish;undulation;waving
citizen,مُوَاطِن,citizen
council,مَجْلِس,council
declare,يُعْلِنُ,hold;adjudge;announce
enormous,ضَخْم,tremendous
extraordinary,اسْتِثْنَائِيّ,sinful;over-the-top
fog,ضَبَاب,obnubilate;befog;fogginess
funeral,جَنَازَة,funeral
giant,عِمْلَاق,jumbo;colossus;hulk
impression,انْطِبَاع,picture;depression;stamp
intention,نِيَّة,aim;intent;purpose
mad,غَاضِب,disturbed;unbalanced;harebrained
ought,يَجِبُ,ought
resist,يُقَاوِمُ,stand firm;jib;stand
reveal,يَكْشِفُ,break;uncover;give away
rid,يَتَخَلَّصُ مِنْ,disembarrass;free
sword,سَيْف,blade;steel;brand
tale,حِكَايَة,taradiddle;story;fib
trap,يَصْطَادُ,ambuscade;lying in wait;immobilize
trial,مُحَاكَمَة,run;tribulation;tryout
violent,عَنِيف,trigger-happy;crimson;tearing
admission,قَبُول,admittance;entree;price of admission
astronomy,عِلْمُ الْفَلَك,uranology
blame,يَلُومُ,darned;blasted;goddamned
chemistry,كِيمْيَاء,interpersonal chemistry;alchemy;chemical science
despite,عَلَى الرَّغْمِ مِنْ,disdain;scorn;contempt
dinosaur,دِينَاصُور,dinosaur
exhibit,يَعْرِضُ,show;march;showing
fame,شُهْرَة,renown;celebrity
forecast,تَنَبُّؤ,presage;foreshadow;bode
genius,عَبْقَرِيّ,ace;mastermind;mavin
gentle,لَطِيف,aristocratic;appease;blue
geography,جُغْرَافِيَا,geographics
interfere,يَتَدَخَّلُ,step in;intervene;interpose
lightly,بِخِفَّة,softly;light;gently
principal,مُدِير,dealer;corpus;lead
row,صَفّ,words;rowing;quarrel
shelf,رَفّ,ledge
spite,حِقْد,nastiness;venom;cattiness
super,رَائِع,ace;tops;crack
wet,مُبَلَّل,pie-eyed;blind drunk;sozzled
abuse,يُسِيءُ مُعَامَلَة,mistreat;ill-treatment;ill-use
afford,يَتَحَمَّلُ نَفَقَة,open;give;yield
bake,يَخْبِزُ,broil
bean,فُول,attic;edible bean;bean plant
candle,شَمْعَة,cd;standard candle;candela
convert,يُحَوِّلُ,change;commute;win over
debt,دَيْن,debt
decrease,يُقَلِّلُ,fall;minify;drop-off
fault,خَطَأ,geological fault;mistake;break
fund,صُنْدُوق,investment company;stock;store
generous,كَرِيم,generous
ingredient,مُكَوِّن,constituent;fixings;component
insist,يُصِرُّ,take a firm stand;importune;assert
mess,فَوْضَى,pot;plenty;muddle
metal,مَعْدِن,metallic element;metallic;alloy
monitor,يُرَاقِبُ,reminder;proctor;admonisher
oppose,يُعَارِضُ,react;fight back;fight down
passive,سَلْبِيّ,peaceful;passive voice;inactive
quantity,كَمِّيَّة,amount;measure
sue,يُقَاضِي,Eugene Sue;process;litigate
adequate,كَافٍ,fair to middling;tolerable;enough
anxiety,قَلَق,anxiousness
army,جَيْش,regular army;United States Army;U. S. Army
billion,مِلْيَار,1000000000000;zillion;1000000000
carve,يَنْحَتُ,chip at;cut up
consult,يَسْتَشِيرُ,confer with;confer;confab
emergency,طَارِئ,emergency brake;hand brake;pinch
fortune,حَظّ,lot;portion;chance
guarantee,يَضْمَنُ,ensure;warrantee;secure
initial,أَوَّلِيّ,initial
intense,شَدِيد,vivid;acute
lend,يُقْرِضُ,bestow;loan;contribute
peak,قِمَّة,top out;vizor;crown
potential,إِمْكَانِيَّة,potentiality;electric potential;potential difference
pride,فَخْر,pridefulness;superbia;congratulate
proof,دَلِيل,trial impression;proofread;cogent evidence
quit,يَتَوَقَّفُ,chuck up the sponge;depart;lay off
spin,يَدُورُ,spin out;twirl;tailspin
tiny,صَغِير جِدًّا,petite;midget;flyspeck
tutor,مُدَرِّس خُصُوصِيّ,private instructor;coach
apparent,وَاضِح,manifest;evident;ostensible
blind,أَعْمَى,dim;unreasoning;screen
calculate,يَحْسُبُ,direct;reckon;bet
chat,يُدَرْدِشُ,confabulation;Old World chat;visit
commit,يَلْتَزِمُ,institutionalize;put;perpetrate
compose,يُؤَلِّفُ,write;pen;draw up
dormitory,سَكَن طُلَّابِيّ,dormitory room;dorm room;student residence
exhaust,يُرْهِقُ,release;tucker;deplete
greenhouse,دَفِيئَة,glasshouse;nursery
ignore,يَتَجَاهَلُ,discount;push aside;neglect
obvious,وَاضِح,obvious
physics,فِيزْيَاء,cathartic;physic;physical science
portion,جُزْء,component part;share;dowry
remind,يُذَكِّرُ,prompt;cue
secretary,سِكْرِتِير,escritoire;secretarial assistant;repository
severe,شَدِيد,knockout;dangerous;grievous
talent,مَوْهِبَة,natural endowment;gift;endowment
thesis,أُطْرُوحَة,dissertation
uniform,زِيّ مُوَحَّد,consistent;unvarying;undifferentiated
vision,رُؤْيَة,imagination;visual sense;imaginativeness
absorb,يَمْتَصُّ,assimilate;steep;immerse
boss,رَئِيس,gaffer;brag;Bos
charitable,خَيْرِيّ,good-hearted;kindly;benevolent
committee,لَجْنَة,citizens committee;commission
contract,عَقْد,undertake;concentrate;abridge
crew,طَاقَم,bunch;work party;crowd
devote,يُكَرِّسُ,pay;commit;give
dig,يَحْفِرُ,prod;gibe;turn over
dine,يَتَنَاوَلُ الْعَشَاء,dine
donate,يَتَبَرَّعُ,donate
double,مُضَاَعَف,repeat;double over;stunt woman
flavor,نَكْهَة,smell;flavour;spirit
foundation,مُؤَسَّسَة,origination;foundation garment;fundament
generation,جِيل,genesis;coevals;contemporaries
handle,مِقْبَض,hold;do by;wield
layer,طَبَقَة,bed;level;stratum
mud,طِين,clay;muck;mire
smooth,نَاعِم,unruffled;placid;politic
soil,تُرْبَة,colly;bemire;filth
unique,فَرِيد,singular;unequalled;unequaled
academy,أَكَادِيمِيَّة,honorary society
ancient,قَدِيم,antediluvian
board,لَوْح,card;circuit card;plank
century,قَرْن,one C;100;C
clue,دَلِيل,clew;cue;hint
concert,حَفْل مُوسِيقِيّ,concert
county,مُقَاطَعَة,county
dictionary,قَامُوس,lexicon
exist,يُوجَدُ,survive;live;be
flat,مُسَطَّح,flatbed;compressed;monotonic
gentleman,رَجُل نَبِيل,valet;gentleman's gentleman;man
hidden,مَخْفِيّ,conceal;veil;hide
maybe,رُبَّمَا,possibly;perhaps;peradventure
officer,ضَابِط,police officer;military officer;officeholder
original,أَصْلِيّ,pilot;master;master copy
pound,يَطْرُقُ,Cypriot pound;pound sterling;ram down
process,عَمَلِيَّة,operation;swear out;cognitive process
publish,يَنْشُرُ,release;write;put out
theater,مَسْرَح,dramaturgy;theatre of operations;theatre
wealth,ثَرْوَة,wealthiness;riches
aim,هَدَف,object;target;intent
attach,يُرْفِقُ,impound;confiscate;sequester
bet,يُرَاهِنُ,stake;reckon;wager
carriage,عَرَبَة,pusher;passenger car;go-cart
classic,تَقْلِيدِيّ,classical;authoritative;Graeco-Roman
commute,يَنْتَقِلُ,change;permute;convert
confirm,يُؤَكِّدُ,affirm;reassert;support
criticize,يَنْتَقِدُ,criticise;knock;pick apart
differ,يَخْتَلِفُ,disagree;take issue;dissent
expense,نَفَقَة,write off;write down;disbursal
formal,رَسْمِيّ,stately;dinner gown;courtly
height,ارْتِفَاع,superlative;tallness;stature
invent,يَخْتَرِعُ,devise;excogitate;make up
junior,مُبْتَدِئ,Jnr;third-year;next-to-last
labor,عَمَل,project;task;childbed
mechanic,مِيكَانِيكِيّ,machinist;car-mechanic;auto-mechanic
prime,أَسَاسِيّ,undercoat;heyday;select
shift,يَنْتَقِلُ,geological fault;wobble;shifting
signal,إِشَارَة,bespeak;signaling;betoken
sincere,صَادِق,solemn;earnest
ability,قُدْرَة,power
agriculture,زِرَاعَة,Agriculture Department;USDA;farming
cartoon,رُسُوم مُتَحَرِّكَة,sketch;toon;animated cartoon
ceiling,سَقْف,cap;roof
convince,يُقْنِعُ,win over;convert
curious,فُضُولِيّ,rum;rummy;singular
delay,يُؤَخِّرُ,hold;retard;check
diary,يَوْمِيَّات,journal
element,عُنْصُر,constituent;component;chemical element
faith,إِيمَان,trust;organized religion;religion
grain,حَبَّة,granulate;metric grain;cereal
greet,يُحَيِّي,recognize;recognise
investigate,يُحَقِّقُ,look into;inquire;enquire
joy,فَرَح,rejoice;pleasure;joyousness
label,مُلْصَق,tag;pronounce;mark
monk,رَاهِب,Monk;monastic;Thelonious Monk
odd,غَرِيب,left over;rum;left
pause,يَتَوَقَّفُ,break;intermission;interruption
priest,كَاهِن,non-Christian priest
profession,مِهْنَة,professing
ball,كُرَة,musket ball;clod;formal
bottom,أَسْفَل,hind end;arse;fanny
company,شَرِكَة,accompany;party;society
drink,يَش��رَبُ,booze;boozing;salute
few,قَلِيل,few
line,خَطّ,melodic phrase;line of products;parentage
pet,حَيَوَان أَلِيف,darling;favorite;positron emission tomography
product,مُنْتَج,mathematical product;production;Cartesian product
responsible,مَسْؤُول,responsible for;creditworthy
sell,يَبِيعُ,trade;deal;betray
snake,ثُعْبَان,serpent;ophidian;Snake
stand,يَقِفُ,sales booth;standstill;tolerate
strange,غَرِيب,foreign;unknown;unusual
tea,شَاي,tea leaf;Camellia sinensis;teatime
test,يَخْتَبِرُ,trial;run;try
tongue,لِسَان,glossa;clapper;spit
they,هُمْ,they
type,نَوْع,character;case;typecast
very,جِدًّا,real;really;identical
wait,يَنْتَظِرُ,hold;waitress;waiting
accomplish,يُنْجِزُ,carry out;achieve;fulfill
approve,يُوَافِقُ,okay;sanction;O.K.
approximate,تَقْرِيبِيّ,near;estimate;rough
barrier,حَاجِز,roadblock
detect,يَكْتَشِفُ,observe;find;discover
duty,وَاجِب,obligation;responsibility;tariff
elementary,ابْتِدَائِيّ,simple;primary;unproblematic
failure,فَشَل,nonstarter;unsuccessful person;loser
gradual,تَدْرِيجِيّ,gradual
immigrant,مُهَاجِر,immigrant
insert,يُدْخِلُ,tuck;sneak in;stick in
instant,لَحْظَة,blink of an eye;jiffy;split second
poverty,فَقْر,poorness;impoverishment
pretend,يَتَظَاهَرُ,venture;feign;make believe
rank,رُتْبَة,rate;outrank;out-and-out
recognition,تَقْدِير,realization;acknowledgement;realisation
refrigerate,يُبَرِّدُ,refrigerate
rent,إِيجَار,tear;lease;hire
retire,يَتَقَاعَدُ,turn in;crawl in;draw back
statistic,إِحْصَائِيَّة,statistic
accident,حَادِث,chance event;fortuity;stroke
astronaut,رَائِد فَضَاء,cosmonaut;spaceman
awake,مُسْتَيْقِظ,wake;awaken;waken
courage,شَجَاعَة,courageousness;braveness;bravery
float,يَطْفُو,be adrift;drift;ice-cream soda
grant,يَمْنَحُ,Grant;concede;Duncan Grant
gravity,جَاذِبِيَّة,sombreness;graveness;sobriety
jewel,جَوْهَرَة,gem;precious stone;bejewel
miner,عَامِل مِنْجَم,mineworker
mineral,مَعْدِن,mineral
participate,يُشَارِكُ,enter;take part
permission,إِذْن,permit;license
pour,يَصُبُّ,decant;rain buckets;teem
raw,خَام,naked as a jaybird;bleak;bare-assed
satellite,قَمَر صِنَاعِيّ,orbiter;artificial satellite;planet
scale,مِقْ��َاس,scale of measurement;weighing machine;musical scale
skip,يَتَخَطَّى,decamp;skip over;hop
stretch,يَتَمَدَّدُ,stint;stretchiness;adulterate
telescope,تِلِسْكُوب,scope
underground,تَحْتَ الْأَرْض,clandestine;subway;tube
alarm,إِنْذَار,alert;warning signal;dismay
arrest,يَعْتَقِلُ,apprehension;hitch;stop
award,جَائِزَة,honour;prize;grant
breed,سُلَالَة,stock;strain;spawn
bucket,دَلْو,bucketful;pail
contest,مُسَابَقَة,competition;contend;repugn
convict,يُدِينُ,yard bird;con;yardbird
festival,مِهْرَجَان,fete
garage,مَرْأَب,service department
journalist,صَحَفِيّ,diarist;diary keeper
pup,جَرْو,whelp;puppy
qualify,يَتَأَهَّلُ,condition;modify;stipulate
repair,يُصْلِحُ,mend;stamping ground;amend
resume,يَسْتَأْنِفُ,summarise;summarize;curriculum vitae
rob,يَسْرِقُ,surcharge;soak;gazump
slip,يَنْزَلِقُ,slipperiness;miscue;steal
somewhat,إِلَى حَدٍّ مَا,moderately;more or less;reasonably
stable,مُسْتَقِرّ,horse barn;static;unchanging
tissue,مِنْدِيل وَرَقِيّ,weave;tissue paper
yard,فِنَاء,chiliad;M;curtilage
best,أَفْضَل,honest;upright;near
card,بِطَاقَة,circuit card;board;calling card
crowd,حَشْد,bunch;gang;crew
day,يَوْم,Clarence Day;solar day;daylight
dish,طَبَق,bag;ravisher;mantrap
easy,سَهْل,slow;gentle;light
experience,يُجَرِّبُ,know;go through;see
hotel,فُنْدُق,hotel
hour,سَاعَة,60 minutes;hr;minute
light,ضَوْء,low-cal;Light Within;luminosity
market,سُوق,commercialize;marketplace;food market
plan,يُخَطِّطُ,architectural plan;project;programme
price,سِعْر,damage;cost;Price
short,قَصِير,abruptly;short-circuit;light
shop,يَتَسَوَّقُ,patronize;frequent;rat
station,مَحَطَّة,post;send;place
surprise,يُفَاجِئُ,storm;surprisal
system,نِظَام,scheme;arrangement;system of rules
taxi,سَيَّارَة أُجْرَة,cab;hack;taxicab
two,اثْنَان,2;deuce;II
bath,حَمَّام,bathtub;bathroom;tub
bend,يَنْحَنِي,bending;bow;crimp
chew,يَمْضُغُ,chaw;wad;plug
disabled,مُعَاق,disenable;invalid;incapacitate
fantastic,رَائِع,tremendous;wondrous;grand
fiction,خَيَال,fable;fabrication
flag,عَلَم,swag;flagstone;droop
inspect,يُفَتِّشُ,scrutinize;audit;visit
journal,مَجَلَّة,diary;daybook
liquid,سَائِل,swimming;liquified;liquidity
marvel,يَتَعَجَّبُ,wonder
overcome,يَتَغَلَّبُ عَلَى,get over;sweep over;subdue
recall,يَتَذَكَّرُ,reminiscence;call up;call back
regret,يَنْدَمُ,ruefulness;rue;repent
soul,رُوح,person;individual;psyche
sufficient,كَافٍ,sufficient
surgery,جِرَاحَة,operating room;operating theater;operating theatre
tough,صَعْب,roughneck;yob;sturdy
tube,أُنْبُوب,pipe;vacuum tube;thermionic valve
value,قِيمَة,measure;rate;prize
atom,ذَرَّة,molecule;mote;speck
beautiful,جَمِيل,beautiful
breadth,عَرْض,comprehensiveness;largeness;width
comet,مُذَنَّب,comet
cover,يُغَطِّي,back;hatch;binding
despair,يَأْس,desperation
form,يُشَكِّلُ,chassis;material body;manikin
fragment,شَظِيَّة,shard;fragmentise;sherd
galaxy,مَجَرَّة,beetleweed;galax;Galax urceolata
gloom,كَآبَة,gloominess;sombreness;glumness
large,كَبِير,turgid;magnanimous;prominent
moon,قَمَر,daydream;synodic month;moon on
radiate,يُشِعُّ,radial;beam;diversify
roam,يَجُولُ,ramble;drift;swan
solitary,مُنْعَزِل,lonesome;sole;only
spectrum,طَيْف,spectrum
sphere,كُرَة,orbit;domain;arena
star,نَجْم,ace;lead;mavin
status,مَكَانَة,condition;position
ugly,قَبِيح,vile;horrifying;horrible
accuse,يَتَّهِمُ,impeach;criminate;charge
adjust,يُعَدِّلُ,line up;adapt;set
amuse,يُسَلِّي,divert;disport
coral,مَرْجَان,precious coral;red coral
cotton,قُطْن,cotton fiber;cotton wool;cotton plant
crash,يَصْطَدِمُ,doss down;barge in;clangor
deck,سَطْح,decorate;embellish;bedeck
engage,يَنْخَرِطُ,pursue;lease;employ
firm,صُلْب,tauten;solid;house
fuel,وَقُود,fire
grand,عَظِيم,opulent;high-minded;rarefied
hurricane,إِعْصَار,hurricane
loss,خَسَارَة,personnel casualty;release;deprivation
plain,بَسِيط,knit stitch;sheer;manifestly
reef,شِعْب مَرْجَانِيّ,Rand;Reef;Witwatersrand
shut,يُغْلِقُ,shut out;close;unopen
strict,صَارِم,rigid;stern;nonindulgent
surf,يَرْكَبُ الْأَمْوَاج,surfboard;channel-surf;breaker
task,مُهِمَّة,project;tax;chore
zone,مِنْطَقَة,zona;partition;district
apology,اعْتِذَار,apologia;excuse
bold,جَرِيء,sheer;bluff;bold face
bug,حَشَرَة,tease;badger;hemipteran
capture,يَأْسِرُ,entrance;charm;appropriate
duke,دُوق,duke
expose,يَكْشِفُ,let out;discover;disclose
guilty,مُذْنِب,shamefaced;hangdog;shamed
hire,يَسْتَأْجِرُ,rent;lease;employ
innocent,بَرِيء,ingenuous;destitute;clean-handed
language,لُغَة,words;spoken language;lyric
minister,وَزِير,rector;parson;pastor
ordinary,عَادِيّ,ordinary bicycle;average
permanent,دَائِم,lasting;permanent wave;perm
preserve,يَحْفَظُ,uphold;conserve;conserves
pronounce,يَنْطِقُ,enounce;label;enunciate
resemble,يُشْبِهُ,resemble
symptom,عَرَض,symptom
tobacco,تَبْغ,tobacco plant;baccy
twin,تَوْأَم,twinned;matching;mate
witch,سَاحِرَة,hag;Wiccan;enchantress
accompany,يُرَافِقُ,companion;company;attach to
bare,عَارٍ,publicize;strip;denudate
branch,غُصْن,separate;offshoot;offset
breath,نَفَس,breather;breathing spell;hint
bridge,جِسْر,nosepiece;bridge deck;span
cast,يُلْقِي,roam;project;stamp
dare,يَجْرُؤُ,presume;make bold;defy
electronic,إِلِكْتُرُونِيّ,electronic
inn,نُزُل,hostel;auberge;lodge
net,شَبَكَة,meshwork;lucre;clear
philosophy,فَلْسَفَة,school of thought;ism;doctrine
pot,وِعَاء,plenty;stack;mint
seed,بِذْرَة,seminal fluid;come;source
sharp,حَادّ,acuate;acutely;piercing
sort,نَوْع,class;kind;sorting
subtract,يَطْرَحُ,take off;deduct
tight,مَشْدُود,pie-eyed;compressed;blind drunk
virtual,افْتِرَاضِيّ,practical
weigh,يَزِنُ,consider;matter;count
whisper,يَهْمِسُ,rustle;voicelessness;susurration
abstract,مُجَرَّد,snarf;nonobjective;swipe
annual,سَنَوِيّ,one-year;yearbook;yearly
clay,صَلْصَال,corpse;remains;Lucius Clay
cloth,قُمَاش,fabric;material;textile
curtain,سِتَارَة,pall;drape;mantle
deserve,يَسْتَحِقُّ,merit
feather,رِيشَة,plumage;feathering;square
fertile,خِصْب,productive;prolific;rich
flood,فَيَضَان,deluge;floodlight;outpouring
furniture,أَثَاث,piece of furniture;article of furniture
grave,قَبْر,tomb;dangerous;sculpture
ideal,مِثَالِيّ,nonesuch;idealistic;paragon
intelligence,ذَكَاء,tidings;word;intelligence information
obtain,يَحْصُلُ عَلَى,hold;find;incur
religious,دِينِيّ,spiritual
romantic,رُومَانْسِيّ,amorous;amatory;wild-eyed
shell,صَدَفَة,beat;eggshell;cuticle
shore,شَاطِئ,prop;shore up;land
wheel,عَجَلَة,roulette wheel;roll;bike
wooden,خَشَبِيّ,wooden
appliance,جِهَاز,widget;gadget;contrivance
basin,حَوْض,basinful;washbowl;washstand
broom,مِكْنَسَة,Scots heather;heather;ling
caterpillar,يَرَقَة,cat;Caterpillar
cupboard,خِزَانَة,closet
delicate,رَقِيق,fragile;ticklish;finespun
emerge,يَظْهَرُ,come forth;egress;go forth
handicap,إِعَاقَة,disability;check;hamper
hole,ثُقْب,cakehole;jam;trap
hook,خُطَّاف,rob;crotchet;glom
hop,يَقْفِزُ,record hop;hop-skip;hops
laundry,غَسِيل,washing;washables;wash
pursue,يُطَارِدُ,quest for;follow;quest after
reluctant,مُتَرَدِّد,loath;loth
sleeve,كُمّ,arm
spine,عَمُود فِقْرِيّ,sticker;back;backbone
stain,بُقْعَة,sully;grunge;stigma
strip,شَرِيط,rifle;divest;disrobe
swear,يُقْسِمُ,avow;trust;bank
swing,يَتَأَرْجَحُ,dangle;baseball swing;lilt
acre,فَدَان,Accho;Akko;Akka
afterlife,حَيَاةٌ آخِرَة,hereafter
archaeology,عِلْمُ الْآثَار,archeology
chamber,غُرْفَة,bedchamber;sleeping room;bedroom
channel,قَنَاة,transmit;distribution channel;transport
core,لُبّ,center;inwardness;centre
corridor,مَمَرّ,corridor
distinct,مُمَيَّz,clear-cut;trenchant;decided
elite,نُخْبَة,elect;elite group
engineer,يُهَنْدِسُ,direct;mastermind;technologist
found,يُؤَسِّسُ,institute;constitute;retrieve
gap,فَجْوَة,opening;break;crack
glory,مَجْد,resplendency;halo;resplendence
interior,دَاخِل,inner;midland;home
lion,أَسَد,Panthera leo;king of beasts;Leo
role,دَوْر,part;character;theatrical role
royal,مَلَكِيّ,purple;regal;royal stag
sole,وَحِيد,lonesome;only;resole
stairs,سَلَالِم,stair;steps;step
surface,سَطْح,show up;rise up;rise
agreement,اتِّفَاق,concord;arrangement;correspondence
arise,يَنْشَأُ,rebel;lift;turn out
benefactor,مُحْسِن,helper
blacksmith,حَدَّاد,blacksmith
chimney,مِدْخَنَة,lamp chimney
compensate,يُعَوِّضُ,redress;pay;remunerate
encounter,يُوَاجِهُ,coming upon;play;meeting
exceed,يَتَجَاوَزُ,outmatch;surpass;surmount
forge,يُشَكِّلُ,work;mold;fashion
humble,مُتَوَاضِع,mortify;humiliate;abase
iron,حَدِيد,atomic number 26;Fe;branding iron
ladder,سُلَّم,ravel;run
modest,مُتَوَاضِع,pocket-size;minor;low
