agree,يُوَافِقُ
tobacco,تَبْغ
twin,تَوْأَم
witch,سَاحِرَة
accompany,يُرَافِقُ
bare,عَارٍ
branch,غُصْن
breath,نَفَس
bridge,جِسْر
cast,يُلْقِي
dare,يَجْرُؤُ
electronic,إِلِكْتُرُونِيّ
inn,نُزُل
net,شَبَكَة
philosophy,فَلْسَفَة
pot,وِعَاء
seed,بِذْرَة
sharp,حَادّ
sort,نَوْع
subtract,يَطْرَحُ
tight,مَشْدُود
virtual,افْتِرَاضِيّ
weigh,يَزِنُ
whisper,يَهْمِسُ
abstract,مُجَرَّد
annual,سَنَوِيّ
clay,صَلْصَال
cloth,قُمَاش
curtain,سِتَارَة
deserve,يَسْتَحِقُّ
feather,رِيشَة
fertile,خِصْب
flood,فَيَضَان
furniture,أَثَاث
grave,قَبْر
ideal,مِثَالِيّ
intelligence,ذَكَاء
obtain,يَحْصُلُ عَلَى
religious,دِينِيّ
romantic,رُومَانْسِيّ
shell,صَدَفَة
shore,شَاطِئ
wheel,عَجَلَة
wooden,خَشَبِيّ
appliance,جِهَاز
basin,حَوْض
broom,مِكْنَسَة
caterpillar,يَرَقَة
cupboard,خِزَانَة
delicate,رَقِيق
emerge,يَظْهَرُ
handicap,إِعَاقَة
hole,ثُقْب
hook,خُطَّاف
hop,يَقْفِزُ
laundry,غَسِيل
pursue,يُطَارِدُ
reluctant,مُتَرَدِّد
sleeve,كُمّ
spine,عَمُود فِقْرِيّ
stain,بُقْعَة
strip,شَرِيط
swear,يُقْسِمُ
swing,يَتَأَرْجَحُ
acre,فَدَان
afterlife,حَيَاةٌ آخِرَة
archaeology,عِلْمُ الْآثَار
chamber,غُرْفَة
channel,قَنَاة
core,لُبّ
corridor,مَمَرّ
distinct,مُمَيَّz
elite,نُخْبَة
engineer,يُهَنْدِسُ
found,يُؤَسِّسُ
gap,فَجْوَة
glory,مَجْد
interior,دَاخِل
lion,أَسَد
role,دَوْر
royal,مَلَكِيّ
sole,وَحِيد
stairs,سَلَالِم
surface,سَطْح
agreement,اتِّفَاق
arise,يَنْشَأُ
benefactor,مُحْسِن
blacksmith,حَدَّاد
chimney,مِدْخَنَة
compensate,يُعَوِّضُ
encounter,يُوَاجِهُ
exceed,يَتَجَاوَزُ
forge,يُشَكِّلُ
humble,مُتَوَاضِع
iron,حَدِيد
ladder,سُلَّم
modest,مُتَوَاضِع
occupy,يَشْغَلُ
penny,قِرْش
preach,يَعِظُ
prosper,يَزْدَهِرُ
province,مُقَاطَعَة
satisfaction,رِضًا
sustain,يُحَافِظُ عَلَى
acquire,يَكْتَسِبُ
awkward,مُحْرِج
caretaker,مُعْتَنٍ
deceive,يَخْدَعُ
discourage,ي��ثَبِّطُ
fake,مُزَيَّف
hatred,كَرَاهِيَة
hut,كُوخ
inferior,أَدْنَى
lodge,نُزُل
neglect,يُهْمِلُ
newcomer,قَادِمٌ جَدِيد
offense,جُنْحَة
overlook,يُطِلُّ عَلَى
repay,يَرُدُّ
ridiculous,سَخِيف
satisfactory,مُرْضٍ
shepherd,رَاعٍ
venture,يُغَامِرُ
wheat,قَمْح
alley,زُقَاق
ax,فَأْس
bunch,عُنْقُود
chore,عَمَلٌ رُوتِينِيّ
decent,لَائِق
disgraceful,مُخْزٍ
elbow,كُوع
grateful,مُمْتَنّ
irritate,يُزْعِجُ
kid,يَمْزَحُ
loose,مُرْتَخٍ
offend,يُهِينُ
overnight,طَوَالَ اللَّيْل
persist,يُثَابِرُ
pine,صَنَوْبَر
scar,نَدْبَة
sensation,إِحْسَاس
sled,زَلَّاجَة
tease,يُضَايِقُ
valentine,حَبِيب
acquaint,يُعَرِّفُ
cemetery,مَقْبَرَة
creature,مَخْلُوق
curse,يَلْعَنُ
disguise,تَنَكُّر
fancy,فَاخِر
flashlight,مِصْبَاحٌ يَدَوِيّ
hood,قَلَنْسُوَة
inhabitant,سَاكِن
nourish,يُغَذِّي
pirate,قُرْصَان
publication,مَنْشُور
riddle,لُغْز
rot,يَتَعَفَّنُ
shortly,قَرِيبًا
skeleton,هَيْكَلٌ عَظْمِيّ
spoil,يَفْسُدُ
starve,يَجُوعُ
thrill,إِثَارَة
wicked,شِرِّير
alert,يُنَبِّهُ
broadcast,بَثّ
bulletin,نَشْرَة
bump,نُتُوء
chop,يُقَطِّعُ
closet,خِزَانَة
console,يُوَاسِي
district,مِنْطَقَة
drawer,دُرْج
endure,يَتَحَمَّلُ
execute,يُعْدِمُ
grasp,يُمْسِكُ
rear,خَلْفِيّ
senator,عُضْوٌ فِي مَجْلِسِ الشُّيُوخ
skull,جُمْجُمَة
stir,يُحَرِّكُ
tap,يَنْقُرُ
tremendous,هَائِل
underneath,تَحْتَ
worm,دُودَة
abandon,يَهْجُرُ
ambitious,طَمُوح
bark,يَنْبَحُ
bay,خَلِيج
brilliant,بَارِع
chin,ذَقْن
complaint,شَكْوَى
deaf,أَصَمّ
enthusiastic,مُتَحَمِّس
expedition,بَعْثَة
horizon,أُفُق
loyal,وَفِيّ
mayor,عُمْدَة
mutual,مُتَبَادَل
overweight,زَائِدُ الْوَزْن
refuge,مَلْجَأ
restore,يُعِيدُ
rub,يَحُكُّ
senses,حَوَاسّ
veterinarian,طَبِيبٌ بَيْطَرِيّ
anniversary,ذِكْرَى سَنَوِيَّة
arithmetic,حِسَاب
ashamed,خَجُول
burst,يَنْفَجِرُ
carpenter,نَجَّار
coal,فَحْم
couch,أَرِيكَة
drip,يُقَطِّرُ
elegant,أَنِيق
fabric,قُمَاش
highlands,مُرْتَفَعَات
ivory,عَاج
mill,طَاحُونَة
needle,إِبْرَة
polish,يُلَمِّعُ
sew,يَخِيطُ
shed,سَقِيفَة
thread,خَيْط
trim,يُشَذِّبُ
upwards,إِلَى أَعْلَى
ally,حَلِيف
boast,يَتَبَاهَى
bounce,يَرْتَدُّ
bully,مُتَنَمِّر
carbohydrate,كَرْبُوهِيدْرَات
crawl,يَزْحَفُ
defeat,يَهْزِمُ
dial,قُرْص
dominant,مُسَيْطِر
entire,كَامِل
mercy,رَحْمَة
nod,يُومِئُ
opponent,خَصْم
quarrel,يَتَشَاجَرُ
rival,مُنَافِس
sore,مُؤْلِم
sting,يَلْسَعُ
strain,يُجْهِدُ
torture,تَعْذِيب
wrestle,يُصَارِعُ
absence,غِيَاب
aloud,بِصَوْتٍ عَالٍ
bald,أَصْلَع
blanket,بَطَّانِيَّة
creep,يَتَسَلَّلُ
divorce,طَلَاق
imitate,يُقَلِّدُ
infant,رَضِيع
kidnap,يَخْطِفُ
nap,قَيْلُولَة
nowhere,لَا مَكَان
pat,يُرَبِّتُ
relief,ارْتِيَاح
reproduce,يُعِيدُ إِنْتَاج
rhyme,قَافِيَة
suck,يَمُصُّ
urgent,عَاجِل
vanish,يَخْتَفِي
wagon,عَرَبَة
wrinkle,تَجْعِيد
architecture,هَنْدَسَةٌ مِعْمَارِيَّة
basket,سَلَّة
bloom,يُزْهِرُ
canoe,زَوْرَق
carpet,سَجَّادَة
cousin,ابْنُ الْعَمّ
desk,مَكْتَب
gallery,صَالَةُ عَرْض
guest,ضَيْف
host,مُضِيف
July,يُولْيُو
modern,حَدِيث
museum,مُتْحَف
pink,وَرْدِيّ
plane,طَائِرَة
refrigerator,ثَلَّاجَة
temperature,دَرَجَةُ الْحَرَارَة
theater,قَاعَةُ السِّينَمَا
upper,عُلْوِيّ
welcome,يُرَحِّبُ
anticipate,يَتَوَقَّعُ
barrel,بِرْمِيل
beam,عَارِضَة
casual,غَيْرُ رَسْمِيّ
caution,حَذَر
contrary,عَكْس
deliberate,مُتَعَمَّد
dissolve,يَذُوبُ
explode,يَنْفَجِرُ
fasten,يَرْبُطُ
germ,جُرْثُومَة
kit,عُدَّة
puff,نَفْخَة
rag,خِرْقَة
scatter,يُبَعْثِرُ
scent,رَائِحَة
steel,فُولَاذ
swift,سَرِيع
toss,يَقْذِفُ
triumph,انْتِصَار
aboard,عَلَى مَتْنِ
bitter,مُرّ
bullet,رَصَاصَة
devil,شَيْطَان
drift,يَنْجَرِفُ
enforce,يُطَبِّقُ
fountain,نَافُورَة
harbor,مِينَاء
inhabit,يَسْكُنُ
march,يَسِيرُ
millionaire,مِلْيُونِير
port,مِينَاء
sheriff,عُمْدَة
startle,يُفْزِعُ
sweat,يَعْرَقُ
trigger,زِنَاد
unify,يُوَحِّدُ
vessel,سَفِينَة
voyage,رِحْلَةٌ بَحْرِيَّة
worship,يَعْبُدُ
apprentice,مُتَدَرِّب
assure,يُؤَكِّدُ
bandage,ضِمَادَة
bleed,يَنْزِفُ
bond,يَرْتَبِطُ
chef,طَاهٍ
crown,تَاج
departure,مُغَادَرَة
diligent,مُجْتَهِد
emperor,إِمْبَرَاطُور
fiber,لِيف
horrible,فَظِيع
impolite,غَيْرُ مُهَذَّب
kneel,يَرْكَعُ
luxury,رَفَاهِيَة
massive,ضَخْم
panic,يَفْزَعُ
priority,أَوْلَوِيَّة
robe,رِدَاء
scold,يُوَبِّخُ
affair,شَأْن
assembly,جَمْعِيَّة
bless,يُبَارِكُ
cereal,حُبُوب
cheerful,مُبْتَهِج
diameter,قُطْر
exploit,يَسْتَغِلُّ
famine,مَجَاعَة
harvest,حَصَاد
merry,مَرِح
nut,جَوْزَة
pardon,يَعْفُو
pharaoh,فِرْعَوْن
ripe,نَاضِج
roast,يَشْوِي
routine,رُوتِين
scheme,خُطَّة
slim,نَحِيل
stove,مَوْقِد
theft,سَرِقَة
adolescent,مُرَاهِق
aptitude,مَوْهِبَة
compliment,يُجَامِ��ُ
hinder,يُعِيقُ
journalism,صَحَافَة
jury,هَيْئَةُ الْمُحَلَّفِين
justice,عَدَالَة
liberty,حُرِّيَّة
literary,أَدَبِيّ
pharmacy,صَيْدَلِيَّة
pill,حَبَّة
presume,يَفْتَرِضُ
privacy,خُصُوصِيَّة
punishment,عُقُوبَة
sensible,عَاقِل
slice,شَرِيحَة
sorrow,حُزْن
straw,قَشَّة
swell,يَنْتَفِخُ
tidy,مُرَتَّب
affection,عَاطِفَة
agency,وَكَالَة
ash,رَمَاد
confine,يَحْبِسُ
dismiss,يَرْفُضُ
erupt,يَثُورُ
fate,قَدَر
lava,حِمَمٌ بُرْكَانِيَّة
miserable,بَائِس
navigate,يُوَجِّهُ
originate,يَنْشَأُ
remainder,بَقِيَّة
retrieve,يَسْتَرِدُّ
shallow,ضَحْل
slope,مُنْحَدَر
span,يَمْتَدُّ
superstition,خُرَافَة
sympathy,تَعَاطُف
vibrate,يَهْتَزُّ
wander,يَتَجَوَّلُ
armor,دِرْع
blaze,يَشْتَعِلُ
boom,يَدْوِي
cliff,جُرْف
flame,لَهَب
independence,اسْتِقْلَال
invasion,غَزْو
knight,فَارِس
lightning,بَرْق
rebel,ثَائِر
retreat,يَنْسَحِبُ
revolution,ثَوْرَة
spear,رُمْح
steep,شَدِيدُ الان��حِدَار
summit,قِمَّة
thunder,رَعْد
troops,قُوَّات
warrior,مُحَارِب
withdraw,يَنْسَحِبُ
yield,يَسْتَسْلِمُ
bench,مَقْعَد
daisy,أُقْحُوَان
dispute,نِزَاع
empty,فَارِغ
horror,رُعْب
incident,حَادِثَة
mist,ضَبَاب
object,شَيْء
orphan,يَتِيم
plot,يَتَآمَرُ
pregnant,حَامِل
rage,غَضَب
revenge,انْتِقَام
shame,عَار
sigh,يَتَنَهَّدُ
sneak,يَتَسَلَّلُ
spare,يَدَّخِرُ
stem,سَاق
supper,عَشَاء
tender,طَرِيّ
beneath,تَحْتَ
cub,شِبْل
dawn,فَجْر
dissatisfied,غَيْرُ رَاضٍ
ease,سُهُولَة
evident,وَاضِح
hail,بَرَد
howl,يَعْوِي
leap,يَقْفِزُ
magnificent,رَائِع
necessity,ضَرُورَة
outcome,نَتِيجَة
pile,كَوْمَة
profound,عَمِيق
seize,يَسْتَوْلِي عَلَى
squeeze,يَعْصِرُ
supreme,أَسْمَى
terrific,رَائِع
trait,سِمَة
vital,حَيَوِيّ
attack,يُهَاجِمُ
breast,ثَدْي
cancer,سَرَطَان
cancerous,سَرَطَانِيّ
cell,خَلِيَّة
cigarette,سِيجَارَة
code,شِفْرَة
cure,عِلَاج
destruction,دَمَار
DNA,حِمْضٌ ن��وَوِيّ
extensive,وَاسِع
female,أُنْثَى
furthermore,عِلَاوَةً عَلَى ذَلِكَ
gene,جِين
inherit,يَرِثُ
link,رَابِط
male,ذَكَر
population,سُكَّان
result,نَتِيجَة
sugar,سُكَّر
accommodate,يَسْتَوْعِبُ
circus,سِيرْك
coincide,يَتَزَامَنُ
commission,يُكَلِّفُ
dose,جُرْعَة
dye,يَصْبُغُ
extent,مَدَى
gender,جِنْس
headline,عُنْوَانٌ رَئِيسِيّ
informal,غَيْرُ رَسْمِيّ
inquire,يَسْتَفْسِرُ
messenger,رَسُول
peer,يُحَدِّقُ
portrait,صُورَةٌ شَخْصِيَّة
pose,يَتَّخِذُ وَضْعِيَّة
ranch,مَزْرَعَة
steer,يُوَجِّهُ
stripe,شَرِيط
tame,أَلِيف
tempt,يُغْرِي
ban,يَحْظُرُ
cautious,حَذِر
confess,يَعْتَرِفُ
cottage,كُوخ
daytime,نَهَار
desperate,يَائِس
exhausting,مُرْهِق
fade,يَتَلَاشَى
fierce,شَرِس
gamble,يُقَامِرُ
lawn,عُشْب
mow,يَجُزُّ
outlaw,خَارِجٌ عَنِ الْقَانُون
prospect,احْتِمَال
purse,مِحْفَظَة
rod,قَضِيب
seldom,نَادِرًا
shave,يَحْلِقُ
terrified,مَرْعُوب
wizard,سَاحِ��
abroad,فِي الْخَارِج
airline,شَرِكَةُ طَيَرَان
audience,جُمْهُور
bargain,صَفْقَة
brief,مُوجَز
currency,عُمْلَة
data,بَيَانَات
domestic,مَحَلِّيّ
draft,مُسَوَّدَة
gather,يَجْمَعُ
hobby,هِوَايَة
income,دَخْل
jet,طَائِرَةٌ نَفَّاثَة
maximum,أَقْصَى
official,رَسْمِيّ
recommend,يُوصِي
refer,يُشِيرُ
remote,نَاءٍ
sleepless,أَرِق
volume,حَجْم
circulate,يَنْتَشِرُ
consequent,تَالٍ
derive,يَشْتَقُّ
drown,يَغْرَقُ
dynasty,سُلَالَة
fraction,جُزْء
frost,صَقِيع
illusion,وَهْم
invade,يَغْزُو
lieutenant,مُلَازِم
marine,بَحْرِيّ
merit,مِيزَة
navy,بَحْرِيَّة
polar,قُطْبِيّ
ray,شُعَاع
resign,يَسْتَقِيلُ
suicide,انْتِحَار
tremble,يَرْتَجِفُ
underlying,ضِمْنِيّ
via,عَبْرَ
alter,يُغَيِّرُ
aside,جَانِبًا
autumn,خَرِيف
blend,يَخْلِطُ
collapse,يَنْهَارُ
crush,يَسْحَقُ
curve,يَنْحَنِي
disgusting,مُقْرِف
drain,يُصَرِّفُ
embrace,يُعَانِقُ
envy,يَحْسُدُ
fireworks,أَلْعَابٌ نَارِيَّة
flour,دَقِيق
fuse,فَتِيل
ginger,زَنْجَبِيل
jealous,غَيُور
paste,عَجِين
receipt,إِيصَال
wipe,يَمْسَحُ
wire,سِلْك
acknowledge,يَعْتَرِفُ
ambassador,سَفِير
blonde,أَشْقَر
conquer,يَغْزُو
drag,يَجُرُّ
exaggerate,يُبَالِغُ
heritage,تُرَاث
insult,يُهِينُ
meanwhile,فِي غُضُونِ ذَلِكَ
necklace,قِلَادَة
noble,نَبِيل
precious,ثَمِين
prejudice,تَحَيُّز
rumor,شَائِعَة
sin,خَطِيئَة
spectacle,مَشْهَد
stack,كَوْمَة
suspicious,مَشْبُوه
tin,قَصْدِير
vase,مِزْهَرِيَّة
ache,يُؤْلِمُ
arctic,قُطْبِيّ
canal,قَنَاة
chemist,كِيمِيَائِيّ
chill,قُشَعْرِيرَة
congress,كُونْغْرِس
dairy,أَلْبَان
descend,يَنْزِلُ
grocer,بَقَّال
hesitate,يَتَرَدَّدُ
institution,مُؤَسَّسَة
jog,يُهَرْوِلُ
merchant,تَاجِر
poke,يَنْخُزُ
postpone,يُؤَجِّلُ
splash,يُطَرْطِشُ
stubborn,عَنِيد
suburb,ضَاحِيَة
tide,مَدٌّ وَجَزْر
tragedy,مَأْسَاة
bomb,قُنْبُلَة
certificate,شَهَادَة
circumstance,ظَرْف
coffin,ت��ابُوت
cope,يَتَأَقْلَمُ
criticism,نَقْد
devastate,يُدَمِّرُ
frown,يَعْبِسُ
gaze,يُحَدِّقُ
glance,يَلْمَحُ
grief,أَسًى
groom,عَرِيس
license,رُخْصَة
microscope,مِجْهَر
nuclear,نَوَوِيّ
portray,يُصَوِّرُ
rotate,يَدُورُ
souvenir,تِذْكَار
submarine,غَوَّاصَة
trace,يَتَتَبَّعُ
coastline,خَطُّ السَّاحِل
deter,يَرْدَعُ
devise,يَبْتَكِرُ
distance,مَسَافَة
expertise,خِبْرَة
fracture,كَسْر
headache,صُدَاع
implement,يُنَفِّذُ
insight,بَصِيرَة
limb,غُصْن
might,قُوَّة
optimism,تَفَاؤُل
proficient,بَارِع
raft,طَوْف
ridge,حَافَّة
shoulder,كَتِف
shove,يَدْفَعُ
spouse,زَوْج
thrust,يَدْفَعُ
tolerate,يَتَحَمَّلُ
accountable,مَسْؤُول
addictive,إِدْمَانِيّ
agenda,أَجِنْدَة
coin,يَصُوغُ
correlate,يَرْبُطُ
depression,اكْتِئَاب
digital,رَقْمِيّ
importance,أَهَمِّيَّة
keyboard,لَوْحَةُ مَفَاتِيح
loneliness,وِحْدَة
media,وَسَائِلُ الْإِعْلَام
platform,مِنَصَّة
poor,ضَعِيف
presence,وُجُود
subject,يُعَرِّضُ
surge,زِيَادَةٌ مُفَاجِئَة
survey,اسْتِطْلَاع
target,يَسْتَهْدِفُ
trend,اتِّجَاه
validate,يُصَادِقُ
carbon,كَرْبُون
carbon dioxide,ثَانِي أُكْسِيدِ الْكَرْبُون
dust,غُبَار
emit,يُصْدِرُ
enable,يُمَكِّنُ
grind,يَطْحَنُ
heal,يَشْفِي
integrate,يَدْمُجُ
leading,رَائِد
moreover,عِلَاوَةً عَلَى ذَلِكَ
object,يَعْتَرِضُ
pollutant,مُلَوِّث
powder,مَسْحُوق
prompt,يَحُثُّ
reject,يَرْفُضُ
skeptic,مُشَكِّك
substance,مَادَّة
substantially,بِشَكْلٍ كَبِير
ton,طُنّ
transport,نَقْل
align,يُوَائِمُ
authority,��ُلْطَة
barn,حَظِيرَة
betray,يَخُونُ
Bible,الْكِتَابُ الْمُقَدَّس
Catholic,كَاثُولِيكِيّ
cooperate,يَتَعَاوَنُ
detain,يَحْتَجِزُ
exit,مَخْرَج
exceptional,اسْتِثْنَائِيّ
flee,يَفِرُّ
network,شَبَكَة
outrage,يُغْضِبُ
parish,أَبْرَشِيَّة
passage,مَمَرّ
pastor,قِسِّيس
patrol,دَوْرِيَّة
raid,يُغِيرُ
rail,سِكَّةٌ حَدِيدِيَّة
tunnel,نَفَق
comfortable,مُرِيح
education,تَعْلِيم
encouragement,تَشْجِيع
endorse,يُؤَيِّدُ
equal,مُتَسَاوٍ
face,يُوَاجِهُ
field,مَجَال
foster,يُعَزِّزُ
guidance,تَوْجِيه
hold,يَحْمِلُ
inclusion,إِدْمَاج
inspire,يُلْهِمُ
mere,مُجَرَّد
position,مَنْصِب
power,قُوَّة
responsibility,مَسْؤُولِيَّة
soar,يُحَلِّقُ
tool,أَدَاة
vocal,صَوْتِيّ
workplace,مَكَانُ الْعَمَل
academic,أَكَادِيمِيّ
acceptance,قُبُول
array,مَجْمُوعَة
blur,يَطْمِسُ
café,مَقْهًى
canvas,لَوْحَة
cinema,سِينَمَا
class,طَبَقَة
distinctive,مُمَيَّز
key,رَئِيسِيّ
movement,حَرَكَة
practice,مُمَارَسَة
realistic,وَاقِعِيّ
reflection,انْعِكَاس
rule,قَاعِدَة
stroke,لَمْسَة
sunlight,ضَوْءُ الشَّمْس
traditional,تَقْلِيدِيّ
unlike,عَلَى عَكْس
width,عَرْض
anthem,نَشِيد
beyond,وَرَاءَ
determination,عَزِيمَة
fighting,قِتَال
joint,مُشْتَرَك
landing,هُبُوط
mark,يُمَيِّزُ
mobilize,يُعَبِّئُ
nation,أُمَّة
originally,أَصْلًا
outbreak,انْتِشَار
pray,يُصَلِّي
prisoner,سَجِين
sacrifice,يُضَحِّي
silence,صَمْت
thus,بِالتَّالِي
tribute,تَكْرِيم
victory,نَصْر
wild,بَرِّيّ
wound,يَجْرَحُ
assimilate,يَسْتَوْعِبُ
attempt,مُحَاوَلَة
case,حَالَة
cease,يَتَوَقَّفُ
danger,خَطَر
devastating,مُدَمِّر
diversity,تَنَوُّع
earthquake,زِلْزَال
endangered,مُهَدَّدٌ بِالِانْقِرَاض
extinction,انْقِرَاض
forever,إِلَى الْأَبَد
generally,عُمُومًا
genocide,إِبَادَةٌ جَمَاعِيَّة
hit,يَضْرِبُ
lose,يَفْقِدُ
native,أَصْلِيّ
percent,نِسْبَةٌ مِئَوِيَّة
reason,سَبَب
reference,مَرْجِع
urban,حَضَرِيّ
burn,يَحْرِقُ
check,يَتَحَقَّقُ
coconut,جَوْزُ الْهِنْد
epilepsy,صَرْع
fat,دُهْن
gain,يَكْسِبُ
glucose,جُلُوكُوز
high,مُرْتَفِع
keep,يُحَافِظُ
known,مَعْرُوف
liver,كَبِد
low,مُنْخَفِض
management,إِدَارَة
metabolic,أَيْضِيّ
oil,زَيْت
olive,زَيْتُون
performance,أَدَاء
powerful,قَوِيّ
starch,نَشَا
summary,مُلَخَّص
analytic,تَحْلِيلِيّ
area,مِنْطَقَة
bachelor,أَعْزَب
cognitive,إِدْرَاكِيّ
collision,اصْطِدَام
competent,كُفْء
diploma,شَهَادَة
excel,يَتَفَوَّقُ
geology,جِيُولُوجْيَا
integral,جُزْءٌ لَا يَتَجَزَّأُ
intellect,عَقْل
job,وَظِيفَة
keen,حَرِيص
minimum,أَدْنَى
psychology,عِلْمُ النَّفْس
radioactive,مُشِعّ
relativity,نِسْبِيَّة
sociology,عِلْمُ الِاجْتِمَاع
theoretical,نَظَرِيّ
weak,ضَعِيف
administrator,مُدِير
affluent,ثَرِيّ
audit,يُدَقِّقُ
automate,يُؤَتْمِتُ
bribe,يَرْشُو
corrupt,فَاسِد
dispose,يَتَخَلَّصُ مِنْ
headquarters,مَقَرٌّ رَئِيسِيّ
incentive,حَافِز
infrastructure,بُنْيَةٌ تَحْتِيَّة
legislate,يُشَرِّعُ
legitimate,شَرْعِيّ
manipulate,يَتَلَاعَبُ
merchandise,بِضَائِع
retail,تَجْزِئَة
revenue,إِيرَادَات
rubbish,قُمَامَة
subsidy,إِعَانَة
transaction,صَفْقَة
violate,يَنْتَهِكُ
assess,يُقَيِّمُ
astonish,يُدْهِشُ
commence,يَبْدَأُ
essence,جَوْهَر
extract,يَسْتَخْرِجُ
fabulous,رَائِع
haste,عَجَلَة
impulse,دَافِع
inhibit,يُثَبِّطُ
latter,أَخِير
molecule,جُزَيْء
ongoing,مُسْتَمِرّ
precise,دَقِيق
proximity,قُرْب
publicity,دِعَايَة
remedy,عِلَاج
significance,أَهَمِّيَّة
subsequent,لَاحِق
synthetic,اصْطِنَاعِيّ
terminal,نِهَائِيّ
acute,حَادّ
aggression,عُدْوَان
biography,سِيرَةٌ ذَاتِيَّة
boost,يُعَزِّزُ
clap,يُصَفِّقُ
classical,كْلَاسِيكِيّ
compel,يُجْبِرُ
creation,خَلْق
dominance,هَيْمَنَة
gorgeous,رَائِع
inevitable,حَتْمِيّ
legacy,إِرْث
masterpiece,تُحْفَة
multiple,مُتَعَدِّد
narrate,يَرْ��ِي
notorious,سَيِّئُ السُّمْعَة
overall,إِجْمَالِيّ
partiality,تَحَيُّز
spontaneous,عَفَوِيّ
virtue,فَضِيلَة
aspect,جَانِب
asset,أَصْل
assignment,مُهِمَّة
awareness,وَعْي
bud,بُرْعُم
coordinate,يُنَسِّقُ
credit,رَصِيد
disprove,يُدْحِضُ
humanitarian,إِنْسَانِيّ
hypothesis,فَرَضِيَّة
informative,مُفِيد
optic,بَصَرِيّ
premise,مُقَدِّمَة
rack,رَفّ
Renaissance,عَصْرُ النَّهْضَة
spatial,مَكَانِيّ
specify,يُحَدِّدُ
tie,يَرْبُطُ
undertake,يَتَعَهَّدُ
wax,شَمْع
addict,مُدْمِن
archeological,أَثَرِيّ
archeology,عِلْمُ الْآثَار
brainstorm,يَسْتَمْطِرُ الْأَفْكَار
budget,مِيزَانِيَّة
chaotic,فَوْضَوِيّ
cite,يَسْتَشْهِدُ
correspond,يَتَوَافَقُ
courtyard,فِنَاء
estate,عَقَار
fraud,احْتِيَال
hydrogen,هِيدْرُوجِين
integrity,نَزَاهَة
outlook,نَظْرَة
parachute,مِظَلَّة
prehistoric,قَبْلَ التَّارِيخ
proponent,مُؤَيِّد
refine,يُحَسِّنُ
restrict,يُقَيِّدُ
team,فَرِيق
aggregate,إِجْمَالِيّ
antibiotic,مُضَادٌّ حَيَوِيّ
circuit,دَائِرَةٌ كَهْرَبَائِيَّة
complement,يُكَمِّلُ
compress,يَضْغَطُ
database,قَاعِدَةُ بَيَانَات
equivalent,مُكَافِئ
immune,مَحْصُور
input,مُدْخَل
intimate,حَمِيم
magnet,مِغْنَاطِيس
metabolism,أَيْض
microchip,رُقَاقَةٌ دَقِيقَة
phase,مَرْحَلَة
pinch,يَقْرُصُ
prevalent,سَائِد
quantum,كَمِّيّ
ratio,نِسْبَة
spiral,لَوْلَبِيّ
viral,فَيْرُوسِيّ
acid,حِمْض
administration,إِدَارَة
administrative,إِدَارِيّ
biotechnology,تِقْنِيَةٌ حَيَوِيَّة
cholesterol,كُولِيسْتِرُول
coalition,ائْتِلَاف
deceptive,خَادِع
diabetes,مَرَضُ السُّكَّرِيّ
eliminate,يُزِيلُ
erosion,تَعْرِيَة
ethics,أَخْلَاق
explicit,صَرِيح
framework,إِطَار
manufacture,يُصَنِّعُ
mechanism,آلِيَّة
minimize,يُقَلِّلُ
nectar,رَحِيق
notion,فِكْرَة
regime,نِظَام
straightforward,مُبَاشِر
bankrupt,مُفْلِس
conform,يَمْتَثِلُ
employ,يُوَظِّفُ
expel,يَطْرُd
extension,تَمْدِيد
forthcoming,قَادِم
furnish,يُؤَثِّثُ
hygiene,نَظَافَة
hygienic,صِحِّيّ
landlord,مَالِكُ الْعَقَار
lease,يَسْتَأْجِرُ
mandatory,إِلْزَامِيّ
mend,يُصْلِحُ
mortgage,رَهْنٌ عَقَارِيّ
personnel,شُؤُونُ الْمُوَظَّفِين
plumbing,سِبَاكَة
quote,اقْتِبَاس
tenant,مُسْتَأْجِر
utility,مَنْفَعَة
whereby,بِمُوجِبِهِ
adapt,يَتَكَيَّفُ
biological,بَيُولُوجِيّ
cellular,خَلَوِيّ
dynamic,دِينَامِيكِيّ
fantasy,خَيَال
heredity,وِرَاثَة
internal,دَاخِلِيّ
minimal,أَدْنَى
pioneer,رَائِد
prescribe,يَصِفُ
respective,خَاصّ
rigid,صَارِم
sequence,تَسَلْسُل
similar,مُمَاثِل
substitute,يَسْتَبْدِلُ
surgeon,جَرَّاح
therapy,عِلَاج
transfer,يَنْقُلُ
transition,انْتِقَال
transplant,زِرَاعَة
astrology,تَنْجِيم
couple,زَوْج
deviate,يَنْحَرِفُ
differentiate,يُمَيِّزُ
disrupt,يُعَطِّلُ
equation,مُعَادَلَة
err,يُخْطِئُ
erroneous,خَاطِئ
frantic,مَذْعُور
inadvertent,غَيْرُ مُتَعَمَّد
improvise,يَرْتَجِل��
latitude,خَطُّ الْعَرْض
mariner,بَحَّار
multitude,حَشْد
nuisance,إِزْعَاج
permanence,دَوَام
revolve,يَدُورُ
soothe,يُهَدِّئُ
stranded,عَالِق
technique,تِقْنِيَة
absurd,سَخِيف
aristocracy,أَرِسْتُقْرَاطِيَّة
aristocrat,أَرِسْتُقْرَاطِيّ
attire,زِيّ
craze,هَوَس
